LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community,List Price,Type,Style,BR,(+),Wr,Fam,Kit,Gar Type,(A/C),Heat,Contract Date ,List Brokerage,Co-Op Brokerage,CB Com,MLS #
New,,8 Virgilwood Dr,,,,Toronto C07,Westminster-Branson,"$989,000",Semi-Detached,Bungalow,4,2,2,N,2,None,Central Air,Gas,12/17/2021,RE/MAX PREMIER I...,416-987-8000,2.25%,C5457674
New,,213 Northcliffe Blvd,,,,Toronto C03,Oakwood-Vaughan,"$999,900",Detached,2-Storey,3,,2,N,1,Detached,Window Unit,Gas,1/9/2022,RE/MAX REALTRON ...,905-470-9800,2.50%,C5467990
New,,144 Winnett Ave,,,,Toronto C03,Humewood-Cedarvale,"$1,038,000",Semi-Detached,2-Storey,3,,3,N,1,None,Central Air,Gas,1/10/2022,ROYAL LEPAGE/J &...,416-489-2121,2.5% + H.S...,C5468205
New,,357 Oakwood Ave,,,,Toronto C03,Oakwood-Vaughan,"$1,145,000",Store w/Apt/Offc,2-Storey,3,,3,N,3,None,Wall Unit,Gas,10/13/2021,FOREST HILL REAL...,905-237-7427,2.5%+Hst,C5400499
New,,82 Petman Ave,,,,Toronto C10,Mount Pleasant East,"$1,149,000",Detached,2-Storey,3,,2,N,1,None,Central Air,Gas,1/11/2022,CHESTNUT PARK RE...,416-925-9191,2.5% + Hst,C5469304
New,,604 Oakwood Ave,,,,Toronto C03,Oakwood-Vaughan,"$1,230,000",Detached,2-Storey,2,,1,N,1,None,Central Air,Gas,1/11/2022,RE/MAX WEST REAL...,416-769-1616,2.5% Plus ...,C5469489
New,,2115 Dufferin St,,,,Toronto C03,Oakwood-Vaughan,"$1,235,000",Detached,2-Storey,3,1,3,N,2,Detached,Central Air,Gas,1/5/2022,MARQUIS REAL EST...,416-226-3905,2.5% + Hst,C5464764
New,,483 Oakwood Ave,,,,Toronto C03,Oakwood-Vaughan,"$1,249,900",Att/Row/Twnhouse,2-Storey,5,1,5,N,2,None,Central Air,Gas,11/23/2021,RE/MAX REAL ESTA...,905-456-1177,2.5 + Hst,C5439473
New,,481 Oakwood Ave,,,,Toronto C03,Oakwood-Vaughan,"$1,250,000",Other,2-Storey,3,,3,,1,None,None,Gas,8/3/2021,CENTURY 21 TITAN...,416-289-2155,2.5 Plus H...,C5327462
New,,42 Augusta Ave,,,,Toronto C01,Kensington-Chinatown,"$1,250,000",Att/Row/Twnhouse,2-Storey,2,1,3,Y,1,Detached,Window Unit,Gas,1/10/2022,FOREST HILL REAL...,416-929-4343,2.5% + Hst...,C5468546
New,,95A Finch Ave W,,,,Toronto C07,Willowdale West,"$1,298,888",Att/Row/Twnhouse,3-Storey,3,,3,Y,1,Attached,Central Air,Other,12/11/2021,ROYAL LEPAGE SIG...,905-568-2121,2.5% + Hst,C5454416
New,,174 Oakwood Ave,,,,Toronto C03,Oakwood-Vaughan,"$1,299,000",Detached,2-Storey,3,2,4,N,1,Detached,Central Air,Gas,1/10/2022,CENTURY 21 PERCY...,416-298-8200,2.50%,C5468972
New,,15 Rebecca St,,,,Toronto C01,Trinity-Bellwoods,"$1,375,000",Att/Row/Twnhouse,2-Storey,2,,2,N,2,None,Central Air,Gas,12/30/2021,REXIG REALTY INV...,647-800-9163,2.5% + Hst,C5462120
New,,32 Dromore Cres,,,,Toronto C07,Newtonbrook West,"$1,380,000",Detached,1 1/2 Storey,2,1,2,N,1,Detached,Central Air,Gas,1/6/2022,SUPERSTARS REALT...,416-816-8160,2.50%,C5465768
New,,723 Dovercourt Rd,,,,Toronto C01,Palmerston-Little Italy,"$1,395,000",Semi-Detached,3-Storey,2,,2,N,1,None,Central Air,Gas,10/11/2021,ROYAL LEPAGE REA...,416-921-1112,2.50%,C5398922
New,,193 Soudan Ave,,,,Toronto C10,Mount Pleasant West,"$1,449,900",Semi-Detached,2-Storey,3,,2,Y,1,None,Central Air,Gas,1/3/2022,RIGHT AT HOME RE...,416-391-3232,2.5%+Hst,C5462898
New,,2 Monteith St,,,,Toronto C08,Church-Yonge Corridor,"$1,450,000",Att/Row/Twnhouse,3-Storey,6,1,3,N,2,None,None,Gas,1/6/2022,CENTURY 21 LEADI...,416-494-5955,2.25% + Hs...,C5465764
New,,530 Clinton St,,,,Toronto C02,Annex,"$1,479,000",Detached,2-Storey,3,,3,Y,1,Detached,Central Air,Gas,1/10/2022,SUTTON GROUP-ASS...,416-966-0300,2.5% +Hst,C5468814
New,,346 Jarvis St,,,,Toronto C08,Church-Yonge Corridor,"$1,488,000",Att/Row/Twnhouse,3-Storey,3,1,3,N,1,Built-In,Central Air,Gas,11/18/2021,RIGHT AT HOME RE...,416-383-9525,2.50%,C5436613
New,,179 Oakwood Ave,,,,Toronto C03,Oakwood-Vaughan,"$1,489,000",Detached,2-Storey,3,2,4,N,1,Detached,Wall Unit,Gas,11/26/2021,CENTURY 21 THE O...,905-604-6006,3% + Hst I...,C5442455
New,,9 Dora Ave,,,,Toronto C01,Dufferin Grove,"$1,495,000",Detached,2-Storey,3,1,4,N,4,None,None,Gas,12/8/2021,ROYAL LEPAGE REA...,905-828-6550,2.5 % + Hs...,C5451799
New,,246 Sherbourne St,,,,Toronto C08,Moss Park,"$1,498,000",Semi-Detached,2 1/2 Storey,7,,5,N,1,None,Central Air,Gas,11/25/2021,HOMELIFE LANDMAR...,905-305-1600,2.5% + Hst,C5442352
New,,250 Sherbourne St,,,,Toronto C08,Moss Park,"$1,498,000",Duplex,2 1/2 Storey,7,,4,N,2,None,Central Air,Gas,11/25/2021,HOMELIFE LANDMAR...,905-305-1600,2.5% + Hst,C5442420
New,,90 De Quincy Blvd,,,,Toronto C06,Clanton Park,"$1,498,000",Detached,Bungalow,3,2,2,N,1,Detached,Central Air,Gas,12/14/2021,RE/MAX WEST EXPE...,905-499-8800,2.25% Plus...,C5455506
New,,190 Markham St,,,,Toronto C01,Trinity-Bellwoods,"$1,498,000",Semi-Detached,3-Storey,5,,4,Y,1,Attached,Central Air,Gas,1/11/2022,FREEMAN REAL EST...,416-535-3103,2.5% Plus ...,C5469564
New,,1032 Davenport Rd,,,,Toronto C02,Wychwood,"$1,499,999",Triplex,3-Storey,5,,3,N,3,Other,Other,Gas,1/11/2022,BLUE DOOR REALTY...,416-267-0855,2.5,C5469935
New,,394 Old Orchard Grve,,,,Toronto C04,Bedford Park-Nortown,"$1,529,000",Detached,Bungalow,2,2,2,N,1,None,Central Air,Gas,11/29/2021,HARVEY KALLES RE...,416-441-2888,2.50%,C5444365
New,,87 Fairholme Ave,,,,Toronto C04,Englemount-Lawrence,"$1,549,000",Detached,Bungalow,3,1,3,Y,1,Detached,Central Air,Gas,1/10/2022,DAVID EICHORN RE...,416-787-1712,2.25% + Hs...,C5468337
New,,80 Argyle St,,,,Toronto C01,Little Portugal,"$1,580,000",Att/Row/Twnhouse,2-Storey,3,1,2,N,1,Detached,None,Gas,11/6/2021,RIGHT AT HOME RE...,905-565-9200,2.50%,C5426483
New,,141 D'arcy St,,,,Toronto C01,Kensington-Chinatown,"$1,588,000",Att/Row/Twnhouse,3-Storey,3,,2,Y,1,Built-In,Central Air,Gas,10/8/2021,ENGEL & VOLKERS ...,416-628-1357,2.5 % + Hs...,C5397298
New,,218 Millwood Rd,,,,Toronto C10,Mount Pleasant West,"$1,595,000",Semi-Detached,2-Storey,4,,2,N,2,Detached,None,Gas,10/25/2021,RE/MAX UNIQUE IN...,416-928-6833,2%,C5412254
New,,49 Grantbrook St,,,,Toronto C07,Newtonbrook West,"$1,599,000",Detached,1 1/2 Storey,3,,3,N,1,Detached,Central Air,Gas,12/17/2021,CENTURY 21 GREEN...,905-565-9565,2.5% Plus ...,C5457633
New,,551 Broadway Ave,,,,Toronto C11,Leaside,"$1,599,000",Detached,Bungalow,2,,2,N,1,None,Central Air,Gas,1/7/2022,"BYFORD, BONNIE, ...",416-483-4444,2.5% + Hst,C5467030
New,,1221 College St,,,,Toronto C01,Dufferin Grove,"$1,649,000",Semi-Detached,2-Storey,3,2,2,N,1,Detached,Wall Unit,Gas,11/15/2021,RE/MAX WEST REAL...,416-769-1616,2.50%,C5432717
